autoria_nome_publico;total
flavio francisco soares brandão;1
flavio gimenes;1
florete comics;1
fly;1
flyp equipe;1
flávio almeida;12
flávio de almeida;1
flávio de assis produções;1
flávio silva;1
fogo e gelo;1
fora da caixinha;1
forest comunicação;1
francis ortolan;1
francisco costa;2
francisco marcatti;6
francisco silva mauriz;1
francisco ucha;15
francélia pereira;2
franjo castro;1
frank  amorim;1
frank delmindo;1
frank tartarus;2
franklinmeow;1
fratura;1
fred cassar;2
fred hildebrand;1
free friday;1
frezza - cabeça de planeta;1
friends z comics;1
frigoli;2
funktoon;1
furanshisuko draki;1
futuro;2
fuzuê nerd;2
fábio coala cavalcanti;6
fábio lima;1
fábio paiva;4
fábrica;2
fábrica de heróis;1
fábrica faglianostra;1
fábula do destino;1
fábula fabulosa;1
fé em 3d;1
g. profeta;2
gabriel arrais;14
gabriel billy;2
gabriel de góes figueiredo;1
gabriel infante;2
gabriel jardim;6
gabriel kolbe;2
gabriel mier;1
gabriel ossu;1
gabriel rocha;2
gabriel rodrigues da silva;1
gabriel sorriso;2
gabriel sá britto do nascimento;1
gabriela paciulo;1
gabtuns;1
gaivota quadrinhos;1
galaxive;2
galego apulso;1
garagi saloon;1
garcia junior;1
gau ferreira;1
geek book;1
geek one;1
geek station;1
geleia total;1
gem.i.ni;2
genildo charges;1
genildo ronchi;1
geovan motter;2
germana viana;11
gerson de lima galvao;5
gerson teixeira;1
gibiteca na zona leste;1
gidalti oliveira moura jr;1
gigantes ou moinhos de vento?;1
gil mendes;3
giocele vieira rocha;1
"giorgio ""gico"" galli";2
gisele silva;2
glauber lopes;1
glaucia campregher;1
gleidson ribeiro;1
gmarquesvii;1
goblins!;1
gok universe;1
gorjeta e recompensas;1
gota de areia;1
goya maru;1
goók&bou - tirinhas;1
grandesheróisbr;4
graphite editora;16
grupo de apoiadores nerd world club;1
grupo lendari / grupo estante;1
gráfica neubert / editora kalima (off);6
guardiões;1
guardiões da justiça;1
gui lipari;3
guia dos quadrinhos;2
guido silva;1
guilda dos quadrinhos;1
guilherme b.;1
guilherme balbi;1
guilherme bandeira;1
guilherme de sousa;7
guilherme infante;4
guilherme kroll domingues;1
guilherme moraes;1
guilherme sfredo miorando;6
guilhotina;2
gus morais;1
gustavo borges;8
gustavo braz;1
gustavo do nascimento e silva;6
gustavo inafuku;1
gustavo lambreta;1
gustavo nascimento;1
gustavo padilha costenaro;1
gustavo piacentini;1
gustavo ravaglio;2
gustavo santana;2
gótica desanimada;1
haeckel almeida;2
hannah abranches;2
harpercollins brasil;1
haus;1
hayde;1
hb comics studio;1
hebi weiss;1
hector lima;1
hector sousa;1
hector yudi;1
heitor amatsu;1
heitor coelho;1
heitor dias tavares;1
heitor pinheiro da costa;1
helena cunha;1
helô d'angelo;3
henrique antonio kipper;2
henrique brum;1
henrique hübner;1
henrique josé;1
henrique moura dos santos;1
henry garrit;1
henry saints;1
hernande henrique;1
herói;1
heróis sonhadores;1
hgs anime;1
hiago nc quadrinhos;6
hiram miller;1
hiro kawahara;7
hiroshi: world wires;1
história em quadrinho;1
histórias de isolamento;1
histórias de tirar o sono;1
histórias sem quadrinhos;1
hkyll e andy;1
hobrat;1
hotmind comics editora;3
house 137 studio;3
hq daisy monkey;1
hq do anjourbano;1
hq dusk & dawn cataclismo;1
hq e manga brasil;1
hq manchados de sangue;1
hq missão lendária;1
hq nuux;1
hqbr;1
hqs canhotas;1
hqs de mateus de mello furquim;1
hugo canuto;5
humor da depressão;1
humor de cada dia;1
hurulla club;1
hyl art;1
hyperion comics;4
hámor edições;1
ibraim roberson;1
ico duarte e seus projetinhos;1
ifl-sp;1
igor albuquerque;1
igor diogo;1
igor fernando;1
igor santos bastos;1
ikarow;3
ilha kaijuu;1
illustra doug;1
iluminus;1
ilustrando nosso amor;1
ilustrart: ilustração e design;1
ilustrações com meg4mente!;1
ilustrações de garotas mangá;1
ilustrações e quadrinhos 1luska1;1
imaginário sociológico;1
imasugu -  ajuda pra custeio;1
impydragon arte;1
indievisivel press;29
infinity world;1
iniciativa vingadores;1
ink-mix studio;1
instituto aprenda.bio;1
instituto literáfrica;1
instituto vladimir herzog;1
irina alves;1
isa danoninho;1
isaac editora;3
isaac ferreira dos santos;1
isaac tiago;2
isabella schneider de oliveira;1
isac da infinity;1
isadora ferraz;1
isaias santos silva;1
isaque arêas;1
iuri gama;1
ivo (websérie);1
j.l.padilha;1
j.m. duclerc falcão;1
jaciara nisaria dantas;1
jack azulita;1
jackie rodrigues;1
jackson gonçalves;1
jacob athias tutoriais;1
jafeth ribeiro;1
jailson silva;1
james lee;1
jane carmen oliveira;1
januarissimo vivendo de quadrinhos;1
jao de merda;2
jarbas pereira;1
jardim de tinta;1
jarlan félix;2
jayson santos;3
jbraga comunicação;7
jean carlos;5
jean carlos virginio de sá;1
jean galvao;1
jean okada;1
jean santos;1
jefferson costa;3
jefferson henning;1
jefferson venancius;1
jerri dias da silva;2
jesga machado;1
jg histórias;1
jhonas;1
jhonas vieira;1
jhonatan freire;4
jilton joselito de lucena ferreira;1
jimmy rus;2
joanna maciel;1
joao vitor nunes;1
johan wolf;1
john byrne comics & more;1
john dellevanera;1
john russo;1
john symon;2
johnatan marques;1
johnatan srs;3
jonas designer;1
jonathan schiessl;1
jonathas ramos;1
jonnas;1
jonnhy jota;3
jorake 12;1
jorge de barros;1
jorge junior;2
jorge luis garcia;2
jorge luiz cerqueira peixoto;1
jornada cosplayer e influenciadora;1
josafat barbosa awyató;1
joshua cordeiro;1
josias silveira;4
josinaldo lira de farias filho;1
josé augusto luz;1
josé de arimateia de brito cavalcante;1
josé roberto cavalcante alves;1
josé roberto torero;1
josé veríssimo e ju veríssimo;1
josé vitor ferreira queiroz;1
josé wilson magalhães;2
jota a;1
jozz;2
joão azeitona vieira;1
joão cesário hq;1
joão daniel da silva freitas;1
joão gabriel;1
joão lucas gonçalves da silva;1
joão lázaro brito dias;1
joão marcos souza do nascimento;1
joão miranda ilustrador;1
joão pedro;1
joão silveira;1
joão vitor palermo;1
jp da silva;15
jp stories;1
jp_schimidt;1
jpanimations editora;4
jr hellboy menezes;1
judao.com.br;1
julhelena;1
julia bax;1
juliana fiorese;5
juliana lossio;1
juliana loyola;1
juliano rocha oliveira;3
juliano sousa;2
julio almeida;3
jun sugiyama;3
junior cortizo;1
jão;3
jéssica alves da silva;1
júlia frança;1
júlia helena;1
kado;1
kael vitorelo;1
kai;2
kai faz umas artes;1
kai maxnuk;2
kainã lacerda;1
kaio;1
kaio moreira;1
kaiowá media;1
kaminari no kenshi/tropa relâmpago;1
kaminari rondonia;3
kampos;1
kao & misa;1
kari esteves;1
karipola;1
karolyne rocha - art;1
kash fyre;1
katsuya harada;1
katty winne(verse) fazendo arte;1
ken no tsumi - o pecado da espada;1
keto comics;1
keto pagano;2
kiko garcia;2
kiko mello;1
kiko welbber;1
kiwii anônimo;1
klabroom studio;1
klebs junior - instituto hq;2
klewerton bortoli;1
komix brasil;1
korekara;1
kuork tradutores errantes;1
kuroi kuraiyuki;1
kyuu mangaka;1
l j animações;1
la saga de bryan;1
laboralivros;2
laboratório leds / ufop;1
laboratório mangue geek;1
lacerda;1
lacruz;1
lado b lado a;1
lady stardust;1
lady's comics;1
lais lima menini;1
lana potiguara;3
lancelott martins (catalogador hq brasil);1
lara nicolau;1
lari macedo;1
larissa becko;1
larissa palmieri;2
lark;1
lasciva;1
laudo ferreira;2
laura athayde;1
laura jardim;1
laís machado (vagalumie);1
legião do abismo;1
leia hq nacional, curta charges;1
leiliane de brito silva lima;1
lelis;1
lenari editores associados;1
lendo quadrinhos nacionais;1
lennon lopes;1
leno carvalho;1
lenyz comics;1
leonardo;1
leonardo ferreira;1
leonardo finocchi;8
leonardo gonçalves da silva;1
leonardo maciel;2
leonardo melo;2
leonardo santana;2
leonardo solano teodoro;1
leonardo vicente di sessa;1
leonel andreoli;1
letícia pusti;3
levi tonin de souza;1
lexy soares;4
leãonegro;1
life in code;1
ligia zanella;3
lila cruz;4
lilo viana;1
lindenberg de paula mota;1
line lemos;2
linha especial de cadernos;1
linhas de tensão;1
lino arruda;1
lita hayata;3
liverpool comics;2
livro poemação.;1
lobo limão;3
loki artes;1
lorar laurenti;1
lorde jimmy;1
lorena giostri;1
lorena herrero;1
lorobuono fumetti;4
"los 3 ""inimigos"" por tiago recchia";1
lote 42;1
lovelove6;2
ltg;1
lu;2
lua bueno cyriaco;1
luaan fellipe;1
lualfe;1
luan  zuchi;7
luan bani;2
luana cristini;1
luara almeida;1
lucas alves;1
lucas andrade;2
lucas celestino;1
lucas costa;1
lucas gehre;2
lucas libanio;1
lucas lincoln;3
lucas m. ribeiro (lmr);1
lucas mariano da cunha e silva;1
lucas marques sampaio;1
lucas mendonça;3
lucas nascimento;1
lucas oliveira;2
lucas pereira;3
lucas salles;1
lucas sb art;1
lucas t. vasconcelos;1
lucasilva;1
lucasilvartes;1
luciano félix;6
luciano harres braga;1
luciano salles;3
lucio luiz;2
lucy fidelis;1
lucy minene;1
luis henrique moraes;1
luissandro almeida;1
luiz alberto de castro;1
luiz andrade;5
luiz asaf;1
luiz carlos machado;1
luiz felipe l. valsani;1
luiz fernando da silva;1
luiz gustavo;1
luiz miguel dias;1
luiz pedro calango;1
luiz rosa;1
luiza de souza;1
luiza lemos;3
luiza maynara diogo veras;1
luiza mcallister;1
luka aquino;1
lukas hawk;2
luke negreiros;1
lumikai;1
lusca;1
luz, ainda que tardia;1
luís gustavo;1
macaco dumal hobbies;1
magenta king;3
magô pool;1
make good art comics;1
maki em aventuras surreais;1
mamakoosa;6
mambembe livros;1
mangaka leed;1
mangakagalego;1
mangateca dicria;1
mangá alpha 7    ( autor: júlio castro);1
mangá manto de guerra;1
mangá nuvem;1
mangá: dragon ball hakai;1
mangás para kindle no formato mobi;1
manoel d'mann martiniano;1
manoel taylor 🎨;1
manoela wings;1
mantis;1
manu cunhas;2
manáo;1
marcel camargo melfi;2
marcel e marcelli ibaldo;3
marcelo;1
marcelo alves da silva;4
marcelo bruzzesi;1
marcelo costa ribeiro;1
marcelo pirani ghilardi;1
marcelo saravá;1
marcio luiz dos santos;1
marcio r. gotland;5
marcio zanini;2
marco ribeiro;1
marcos  garcia;1
marcos eduardo;1
marcos felipe lopes rodrigues;1
marcos guerra;1
marcos levi;1
marcos noel;1
marcos pena;1
marcos t. nogueira;4
marcus beck;1
marcão rocker;1
mari santtos;1
mariana cagnin;1
mariana petrovana (youko);2
mariana souza;1
mariane gusmão;1
marilia bruno;1
marina coelho nogueira;1
marina fraguas;4
marina schenkel;1
marina timm;1
mario cau;2
mario cavalcanti;1
mario koller artes;1
mario vitor gouveia cau;1
mariá raposa branca;2
marmota;1
marsal;3
marvin rodriguez;4
marília marz;1
mascara nerd;1
mateus b;1
mateus m. côrtes;1
matheus de souza;1
matheus garcia soares;1
matheus hoffmann;1
matheus joy boy;1
matheus rodrigues nascimento;1
matheus sousa;1
matias maxx;1
maurici aurélio;2
mauricio oliveira dias;1
maurilio maia;1
max andrade;8
max andrade x tempo;1
max gibizeiro;2
max mauricio maciel figueiredo;1
mayara lista alcantara;1
mbj;1
me ajude a continuar traduzindo;1
me ajude a paga meus estudos? e tbm realiza meu sonho;1
me ajude a viver da minha arte!;1
mecenato lídico;1
meenhas aventuras;1
megabox addon;1
megafauna;1
megumi kdrw;1
mei yamashiro;1
meiriany ilustra;1
melquizedeque de jesus lins;1
memy;1
meninas wtf - 2020, o retorno;1
mercenários;2
mestre das antigas;1
mestre dos magros;1
meu mangá: jikan no mondai;1
meu meme minha vida;1
meu sonho: um mangá;1
meury aguiar;1
meuscomics;1
mhorgana alessandra;1
michael fortes souza;1
michael luiz martins rocha;1
michel borges;1
michel d. c. galindo;1
michel ramalho;4
mig mendes;2
mika takahashi;1
milena azevedo;4
milly monteiro;1
mina de hq;5
minha hq autoral.;1
minha vida de cão;1
ministério louvor na terra;1
minna editora;1
minna miná;1
mirage estúdio;12
mirage42cit;1
missão nas estrelas;1
misterio;2
mistery plays;1
mistifório editora;2
mmyoi (mari);1
moacir martins;2
moby dick;3
monique alencar;1
monique pinhati;1
mont lunar, o artista gráfico;1
monumental editora;1
moonlight selenites;1
motta;1
mozart cunha do couto;1
