autoria_nome_publico;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
batatinha fantasma;2;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
beatrice witt;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
beatriz blodau;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
beatriz lopes;3;3,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
bel pardal;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
berilo cat peste;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
bernardo aurélio;6;5,0;4,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0
berze: deus lhe pegue.;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
best friends do jesusinho;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
betrinequerestudar;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
bi aguiart;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
bian philippi;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
bianca pinheiro;2;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
bianca reis;5;5,0;3,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0
bichinhos de jardim;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
bill e mandy;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
bill scarpitti;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
binho productions comics;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
bismarcke art;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
blezzz;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
blockchainsupertrader.com;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
bloco narrativo;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
blog endereço disponível;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
blog os profanos;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
blood ties;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
bloodvessel;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
blue ghost;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
bolt studios;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
bombeiro mascarado;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
brasa editora;4;0,0;0,0;0,0;4,0;4,0;0,0;0,0;0,0;0,0
brasileiro de aço;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
brcomic oficial;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
brenda bossato;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
brenda klein;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
breno garcia;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
bright hikari;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
bruna morgan;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
"bruno ""brak"" ferreira";1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
bruno batista;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
bruno brunelli;5;3,0;3,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0
bruno corrêa gauto;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
bruno césar;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
bruno césar dos santos;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
bruno de deus vieira;5;4,0;1,0;3,0;1,0;1,0;0,0;0,0;0,0;0,0
bruno de sousa oliveira;3;3,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
bruno fernandes alves;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
bruno lavoisier & felipe de sá;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
bruno magno de carvalho;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
bruno maron;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
bruno seelig;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
bruno sorc;2;0,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0
bruno telles de moura;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
